model,role,path,mean_cv_average_precision
lightgbm,tuned_candidate,C:\Users\Admin\Desktop\gcon\NBFO_IB\saved_models\lightgbm_best_model.joblib,0.5978941762753439
xgboost,tuned_candidate,C:\Users\Admin\Desktop\gcon\NBFO_IB\saved_models\xgboost_best_model.joblib,0.5976854267296136
lightgbm,selected_model_copy,C:\Users\Admin\Desktop\gcon\NBFO_IB\saved_models\selected_lightgbm_model.joblib,0.5978941762753439
lightgbm_calibrated_sigmoid,selected_calibrated_model,C:\Users\Admin\Desktop\gcon\NBFO_IB\saved_models\selected_lightgbm_calibrated_sigmoid_model.joblib,
